WR, Yards Rec Until TD
S.Taylor,17
A.Blue,21
A.Gates,1152
B.Cunningham,38
K.Wright,739
J.Maclin,881
D.Freeman,31
L.Willson,183
A.Hawkins,325
D.Bryant,1528
E.Sanders,883
R.Matthews,158
R.Gronkowski,915
R.Cobb,570
R.Woods,303
M.Wheaton,141
G.Jennings,1307
A.Foster,475
M.Sanu,521
M.Evans,130
J.Carlson,440
J.Maclin,951
A.Fasano,857
C.Clay,531
C.Ford,129
J.Edelman,442
C.Fleener,429
T.Smith,1274
A.Boldin,2239
J.Cook,890
L.Washington,146
C.Hogan,89
C.Johnson,3123
A.Quarless,107
J.Witten,1746
B.Cooks,204
T.Graham,384
B.Butler,47
J.Matthews,127
P.Parker,279
M.Evans,181
M.Floyd,1772
R.White,2003
R.Ellison,99
J.Watt,2
D.Adams,39
H.Nicks,1688
D.Baldwin,848
B.Gibson,753
J.Gresham,1014
L.Donnell,97
M.Floyd,1794
K.Britt,924
N.Washington,1456
R.Helu,193
J.Jones,3200
R.Woods,341
M.Evans,269
D.Thomas,1432
M.Sanu,563
T.Hilton,965
Ch.Johnson,22
T.Wright,174
S.Smith,2906
O.Beckham,36
A.Fasano,894
J.Casey,129
K.Allen,552
C.Helfet,72
A.Boldin,2322
J.Jones,3304
T.Smith,1307
C.Hogan,160
J.Matthews,246
A.Jeffery,568
R.Rodgers,51
R.Griffin,58
C.Fleener,551
P.Parker,285
D.Thomas,1470
K.Rudolph,371
B.Watson,778
R.Turbin,164
T.Mason,83
A.Green,1469
J.Charles,722
M.Bennett,557
J.Gresham,1069
T.Hilton,1069
C.Hogan,197
C.Johnson,3177
J.Nelson,1449
A.Hurns,153
B.Hartline,1401
P.Harvin,1309
K.Benjamin,277
B.Miller,282
M.Lynch,707
M.Floyd,1862
O.Beckham,162
J.Cook,952
D.Hester,628
O.Daniels,1130
M.Evans,282
J.Hill,379
G.Jennings,1423
H.Nicks,1730
T.Kelce,334
M.Wallace,2434
O.Beckham,178
D.Bryant,1556
D.Thomas,1586
P.Richardson,107
J.Conner,47
L.Willson,295
J.Cameron,615
M.Forte,928
J.Gresham,1095
T.Williams,423
C.Fiedorowicz,5
L.Washington,156
G.Jennings,1444
E.Weems,44
R.Gronkowski,1009
S.Watkins,377
A.Brown,1923
B.Ellington,17
O.Beckham,197
R.Cooper,560
JO.Brown,32
J.Jones,3515
P.Harvin,1380
J.Jones,3528
G.Escobar,82
T.Kelce,363
J.Cotchery,1232
R.Gronkowski,1044
T.Benjamin,306
T.Eifert,283
E.Ebron,92
J.Graham,1332
K.Wright,887
J.Reed,383
J.Edelman,625
T.Ginn,569
J.Bellamy,48
A.Green,1668
T.Benjamin,366
J.Jones,3557
E.Decker,956
A.Robinson,396
E.Sanders,1246
K.Rudolph,461
V.Jackson,2126
O.Beckham Jr.,143
A.Cooper,98
T.Williams,515
H.Miller,1388
P.Garcon,1532
L.Fitzgerald,2114
M.Jones,320
G.Olsen,1611
A.Holmes,325
J.Jones,3712
D.Thomas,1805
T.Montgomery,8
D.Hopkins,463
C.Clay,663
K.Allen,674
A.Hurns,322
O.Beckham Jr.,222
R.Mathews,367
J.Graham,1406
K.Wright,915
T.Austin,262
L.Hankerson,557
D.Harris,121
E.Royal,811
B.Tate,436
M.Wallace,2593
A.Hurns,365
J.Stoneburner,16
J.Hill,398
D.Heyward-Bey,678
K.Allen,702
D.Baldwin,1083
R.Rodgers,119
T.Ginn,607
R.Cooper,632
D.Carrier,39
K.Juszczyk,93
T.Eifert,336
D.Lewis,137
T.Riddick,107
T.Montgomery,39
A.Johnson,2290
D.Thomas,1908
S.Vereen,232
M.Reece,345
B.Watson,849
A.Gates,1258
A.Hurns,401
C.Hogan,276
J.Hill,411
G.Barnidge,363
L.Moore,869
J.Starks,159
D.Moncrief,91
A.Foster,562
K.Rudolph,485
R.White,2216
P.Garcon,1621
O.Beckham Jr.,349
M.Floyd,2022
R.Lockette,295
T.Smith,1414
D.McCluster,550
M.Floyd,2058
M.Tolbert,371
E.Ebron,179
M.Hoomanawanui,218
A.Robinson,548
M.Bryant,154
R.Matthews,283
J.Kerley,646
D.Street,43
C.Walford,56
T.Lockett,97
K.Wright,1000
M.Evans,381
C.Brate,65
M.Floyd,2076
G.Olsen,1761
A.Jeffery,674
T.Niklas,16
L.Willson,352
D.Hopkins,556
T.Kelce,498
R.Gronkowski,1290
O.Beckham Jr.,398
A.Holmes,330
A.Green,1895
T.Austin,403
S.Watkins,536
G.Olsen,1791
T.Eifert,399
C.Beasley,323
J.Doyle,30
J.Edelman,797
J.Hill,465
E.Decker,1082
M.Crabtree,1800
D.Woodhead,431
G.Celek,120
R.Randle,788
A.Hurns,428
D.Hopkins,609
C.West,169
B.Pettigrew,835
O.Beckham Jr.,514
Ka.Williams,26
R.Ellison,135
J.Huff,69
A.Brown,2353
M.Floyd,2124
Z.Miller,1028
J.Reed,511
T.Eifert,416
P.DiMarco,99
L.Kendricks,656
J.Stewart,430
D.Thomas,2294
D.Hopkins,707
J.Thomas,417
T.Williams,702
K.Rudolph,584
J.White,39
J.Huff,108
T.Lockett,144
A.Green,1992
J.Allen,41
C.Beasley,375
R.Gronkowski,1340
T.Riddick,221
E.Lacy,202
R.Griffin,134
C.Brate,102
D.Inman,91
S.Watkins,636
B.Marshall,2536
D.Baldwin,1152
V.McDonald,153
C.Stevens,240
D.Jackson,2077
S.Watkins,639
T.Smith,1511
A.Green,2094
E.Ebron,202
D.Parker,49
D.Baldwin,1193
J.White,43
B.Watson,901
B.Powell,212
M.Crabtree,1882
F.Gore,746
D.Thomas,2318
J.Nelson,1676
N.Williams,39
C.Stevens,250
D.Jackson,2157
Jo.Brown,161
T.Lockett,237
T.Ginn,833
A.Jeffery,803
A.Green,2183
G.Barnidge,670
S.Roberts,82
J.Starks,215
K.Martin,121
A.Hurns,575
A.Wilson,421
